Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
"9,595",1984,Once Upon a Time in America,"$5,577,556","$5,321,508","$256,048"
"9,596",2019,Cep Herkülü: Naim Süleymanoglu,"$5,577,528",,"$5,577,528"
"9,597",1991,Europa Europa,"$5,575,738","$5,575,738",
"9,598",2007,"Ore wa, kimi no tame ni koso shini ni…","$5,575,613",,"$5,575,613"
"9,599",1997,Gridlock'd,"$5,573,929","$5,573,929",
"9,600",2014,Cesar Chavez,"$5,571,497","$5,571,497",
"9,601",2017,Phillauri,"$5,570,898","$467,596","$5,103,302"
"9,602",1982,Vice Squad,"$5,568,880","$5,568,880",
"9,603",2014,Walk of Shame,"$5,565,259","$59,209","$5,506,050"
"9,604",1983,A Night in Heaven,"$5,563,663","$5,563,663",
"9,605",2010,Space Chimps 2: Zartog Strikes Back,"$5,560,200",,"$5,560,200"
"9,606",2004,Nicotina,"$5,559,100","$1,109,100","$4,450,000"
"9,607",2019,"Cetto c'è, senzadubbiamente","$5,556,301",,"$5,556,301"
"9,608",2021,Gan Dong Ta 77 Ci,"$5,555,693",,"$5,555,693"
"9,609",2007,The Lookout,"$5,555,018","$4,600,585","$954,433"
"9,610",2022,jabaek,"$5,553,309",,"$5,553,309"
"9,611",2015,Mustang,"$5,552,584","$845,464","$4,707,120"
"9,612",2006,For Your Consideration,"$5,549,923","$5,549,923",
"9,613",2022,Laal Singh Chaddha,"$5,547,240","$3,401,324","$2,145,916"
"9,614",2017,Me Gusta pero me Asusta,"$5,545,026",,"$5,545,026"
"9,615",2019,Tiao Wu Ba! Da Xiang,"$5,544,781",,"$5,544,781"
"9,616",2022,Crayon Shin-chan: Mononoke Ninja Chin…,"$5,544,644",,"$5,544,644"
"9,617",2023,Bào Fēng (暴风),"$5,544,016",,"$5,544,016"
"9,618",2020,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",,"$5,543,147"
"9,619",2024,Daetgeulbudae (댓글부대),"$5,542,020",,"$5,542,020"
"9,620",2015,Life,"$5,536,354",,"$5,536,354"
"9,621",2009,The Brothers Bloom,"$5,531,756","$3,531,756","$2,000,000"
"9,622",2023,Io capitano,"$5,531,637",,"$5,531,637"
"9,623",2023,Atatürk 1881 - 1919,"$5,529,562",,"$5,529,562"
"9,624",2016,The Meddler,"$5,526,942","$4,267,219","$1,259,723"
"9,625",2017,C'est tout pour moi,"$5,521,370",,"$5,521,370"
"9,626",2007,Invisible Target,"$5,520,795",,"$5,520,795"
"9,627",2007,Aqua Teen Hunger Force Colon Movie Fi…,"$5,520,368","$5,520,368",
"9,628",1992,Wind,"$5,519,569","$5,519,569",
"9,629",2001,Say It Isn't So,"$5,516,708","$5,516,708",
"9,630",2016,Terra Formars,"$5,512,622",,"$5,512,622"
"9,631",2002,Igby Goes Down,"$5,512,151","$4,777,465","$734,686"
"9,632",2007,Cash,"$5,512,027",,"$5,512,027"
"9,633",2024,Vozdukhd (Воздух),"$5,511,680",,"$5,511,680"
"9,634",2016,David Brent: Life on the Road,"$5,511,343",,"$5,511,343"
